Ý
[Acronyms.Lst Version 2.00 5/6/2005
[Compiled by p_elphick@cix.co.uk aka cotal@cotal.co.uk]
[This file is copyright and may not be re-distributed outside the CIX conferencing system without permission]
[topic info]
ameol
serious
fun
chatter
Ý

[common]
1VHB	One Very Happy Bunny
OWYH	Off With Your Head
OYIA	Oh Yes I Am
OYII	Oh Yes It Is
OYLLT	Oh You Little Liar Tommy
OYYA	Oh Yes You Are
OYYD	Oh Yes You Did
PA	Pack Assistant/Pennsylvania
PAAF	Pissed As A Fart
PABX	Private Automatic Branch eXchange
PAF	Phone A Friend/Postal Address File/Pigeons Are Faster
PAL	Phase Alternation Line
PAM	Pulse Amplitude Modulation
PANS	Pretty Annoying New Stuff
PAP	Password Authentication Procedure
PASU	Post-Alcohol Sexual Urge
PAT	Port Address Translation
PAWN	Personal Area Wireless Networking (aka Bluetooth)
PAYG	Pay As You Go
PBX	Private Branch eXchange
PC	Personal Computer/Price Check/Politically Correct/Police Constable/Parish Council
PCA	Police Complaints Authority
PCB	Printed Circuit Board/Para-diChloro-Benzoate/PolyChlorinated Biphenyl
PCI	Peripheral Component Interconnect
PCKBA	Pot Calling Kettle Black Alert
PCM	Pulse Code Modulation
PCMCIA	People Can't Memorise Computer Industry Acronyms/Personal Computer Memory Card International Association
PCMIIR	Please Correct Me If I'm Wrong
PCMIIRB	Please Correct Me If I'm Wrong But
PCP	Personal Contract Plan
PCTFPT	Permanent Cix Travelling Fish Pun Thread
PCTKB	Pot Calling The Kettle Black
PCTW	PC Tools for Windows
PCW	Personal Computer World
PDA	Personal Digital Assistant/Public Display of Affection/Public Disservice Announcement
PDC	Primary Domain Controller
PDF	Portable Document Format
PDG	Pretty Damned Good
PDM	POST Display Manager
PDQ	Pretty Damned Quick
PDR	Permitted Development Rights
PDS	Pretty Damn Sure
PDT	Pay Down Then
PDTTTYGTSE		Please Don't Try To Teach Your Grandmother To Suck Eggs
PEBCAK	Problem Exists Between Chair And Keyboard
PENTIUM	Produces Erroneous Numbers Thru Incorrect Understanding of Mathematics
PEO	Personal Email Option
PEPC	Prospective European Parliamentary Candidate
PETA	People for the Ethical Treatment of Animals
PF	Political Fund/Personal Firewall
PF&HOMW	Printed, Framed & Hanging On My Wall
PFE	Programmer's File Editor
PFMFJI	Please Forgive Me For Jumping In
PFTC	Par For The Course
PFY	Pimply Faced Youth
PG	ParkGlobe/Parental Guidance
PGA	Pure Grain Alcohol/Professional Golfers Association
PGP	Pretty Good Privacy
PGY	Post-Graduate Year PGY-1, PGY-2 etc. used in PGY Med.
PH	Pack Helper/Potenz Hydrat
PHAP	Puts Head Above Parapet
PHAPAGISO	Puts Head Above Parapet And Gets It Shot Off
PHB	Pointy Haired Boss
PHCTB	Pedro Has Ceased To Be
PHITC	Put Her In The Creche 
PHP	Hypertext Preprocessor
PHPBB	PHP Bulletin Board (http://www.phpbb.com/)
PI	Private Investigator/3.1415926535/Prove It
PIBKAC	Problem Is Between Keyboard And Chair
PICNIC	Problem In Chair Not In Computer
PICS	Platform for Internet Content Selection
PID	Pelvic Inflammatory Disease
PIFOP	Punishment Is For Other People
PILON	Pay In Lieu Of Notice
PIM	Personal Information Manager
PIN	Personal ID Number
PING	Packet INternet Gopher
PIPI	Producer Input Price Indices
PIRA	Provisional Irish Republican Army
PITA	Pain In The A**e
PITB	Pain In The Butt
PITN	Pain In The Neck
PKU	PhenylKetonUria
PKZIP	Phil Katz ZIP (file compression program)
PLC	Patrol Leaders Council
PM	Presentation Manager/ Past Master/PostMaster/Post Meridiem/Post Mortem/Prime Minister/ Provost-Marshal/Phase Modulation
PMBX	Private Manual Branch eXchange.
PME	Protective Multiple Earthing
PMETC	Pardon Me Etc.
PMFB	Pardon Me For Breathing
PMFBI	Pardon Me For Butting In
PMFJI	Pardon Me For Jumping In
PMFJIB	Pardon Me For Jumping In But
PMI	Pardon My Ignorance/Practice Makes Imperfect
PMJI	Pardon Me Jumping In
PMKA	Pot Meet Kettle Alert
PML	Pissed Myself Laughing
PMM	POST Memory Manager
PMP	Practice Makes Perfect
PMQ	Prime Minister’s Questions
PMS	Pre-Menstrual Syndrome
PMYMHMMFSWGAD	Pardon Me, You Must Have Mistaken Me For Someone Who Gives A Damn
PNAC	Project for the New American Century (neo-Conservative think tank)
PNC	Positively No Comment/Police National Computer
PND	Post-Natal Depression
PNID	Plural Not In Dictionary
PO	Post Office/P*ss Orf!
POC	Piece Of Cake
POD	Point Of Divergence
POETS	Piss Off Early, Tomorrow's Saturday
POM	Prescription/Pharmacist Only Medicine
POP	Point Of Presence/Post Office Protocol/Piece Of Piss
POP3	Post Office Protocol 3
POR	Policy, Organisation & Rules
POS	Point Of Sale/Piece Of S**t
POST	Power On Self Test
POTS	Plain Old Telephony Services
POV	Point Of View/Protector Of Vampires
PP	Per Procurationem/Parish Priest/Past President/Present Pupil/Prize Prick
PPC	Prospective Parliamentary Candidate/Power PC/Pocket PC
PPCOE	Punning Priest Church Of England
PPD	Prepaid
PPI	Producer input Price Indices
PPL	Pink Panther Land
PPM	Pulse Position Modulation/Parts Per Million
PPP	Point to Point Protocol
PPTP	Point to Point Tunnelling Protocol
PQMF	Please Quote Me For
PR	Public Relations/Proportional Representation/Puerto Rico
PRAT	Please Register Acronym(s) Today (in acronyms/ameol)
PRBS	Pseudo-Random Binary Sequence
PRC	People's Republic of China/Post Romam Conditam
PRESL	Please Read Eats, Shoots and Leaves.
PRESLEY	Please Read Eats, Shoots and Leaves EventuallY
PRI	Primary Rate Interface/Programme Review Implementation
PRO	Public Record Office
PROM	Programmable Read Only Memory
PRoW	Public/Private Right of Way
PRS	Performing Rights Society
PS	Permanent Secretary/Police Sergeant/Post Script/Public School
PSA	Public Service Announcement/Prostate Specific Antigen/Property Services Agency
PSC	Personal Services Company
PSITS	Penny Sticks In The Slot
PSK	Phase Shift Keying
PSL	Private Sector Liquidity
PSPC	Prospective Scottish Parliamentary Candidate
PSTN	Public Switched Telecom Network
PSU	Power Supply Unit
PT	Public/Private Transport/Physical Training
PTA	Parent-Teachers’ Association
PTB	Pregnant Tea Bringer
PTCW	Poet To Cix:Wur
PTI	Physical Training Instructor
PTIYPASI	Put That In Your Pipe And Smoke It
PTL	Please Try Later
PTLO	Put That Light Out
PTO	Patent and Trademark Office (US Govt)
PTOO	Pull The Other One
PTOOIGBO	Pull The Other One It's Got Bells On
PTTPTB	Praise To The Powers That Be :-)
PTW	Posts This Week
PU	Priority Unread
PUNVIC	Punning Vicar
PVR	Personal Video Recorder
PW	Palau
PWL	Poor Wee Lad
PWM	Pulse Width Modulation
PYT	Pull Yourself Together
PYU	Pick Yourself Up
Q	Que?
QA	Quality Assurance
QAD	Quick And Dirty
QALOPDKT	Quite A Lot Of People Don't Know That
QALOPKT	Quite A Lot Of People Know That
QC	Quality Control/Queens Counsel/Sherry
QCA	Qualifications and Curriculum Authority
QED	Quod Erat Demonstrandum (which was to be shown)
QEF	Quot Erat Faciendum (which was to be done) [parallels QED]
QEMM	Quarterdeck Expanded Memory Manager
QIC	Quarter Inch Cartridge
QL	Quantum Leap
QM	Quartermaster
QNI	Quiet Night In
QRK	Do You Understand?
QRM	Interference Man made
QRP	Very Quietly/Low Power
QRT	Stopping Communication
QRX	Wait for a short time
QRZ	Who Are You
QSL	I Expect a Reply
QSO	Chat/Communication
QSY	Change Frequency/move to another topic
QTH	Location
QUANDO	QUick ANd Dirty Operation
R/O	Receiver Only
RA	Ramblers' Association
RADIUS	Remote Authentication Dial In User Service
RADSL	Rate Adaptive Digital Subscriber Line
RAF	Royal Air Force
RAFA	Royal Air Force Association
RAFARS	Royal Air Force Amateur Radio Society
RAH	Royal Albert Hall
RAID	Redundant Array of Inexpensive Disks
RAIT	Redundant Array of Inexpensive Tapes
RAM	Random Access Memory
RAMDAC	Random Access Memory/Digital to Analogue Converter
RAQ	Rarely Asked Question
RAS	Redundant Acronym Syndrome/Remote Access Service
RASMAN	Remote Access Service Manager
RAT	Rem Acu Tetigisti (Latin for "you've hit the nail on the head")
RATEOTU	Restaurant At The End Of The Universe
RAUBM	Replies As Usual By Mail
RBM	Reply By Mail/Right Button Menu
RBMO	Reply By Mail Only
RC	Right Conference
RCD	Residual Current Device
RCE	Region Coding Enhancement
RDBMS	Relational DataBase Management System
RDF	Resource Description Framework
REN	Ringer Equivalence Number
RF	Radio Frequency
RFC	Request For Comments
RFI	Radio Frequency Interference
RFID	Radio Frequency IDentification
RFU	(The) Rugby Football Union
RGB	Red-Green-Blue
RH	Right Hand
RHA	Red Hot Ant (now defunct)
RHG	Right Honourable Gentleman
RHIA	Rubs Hands In Anticipation
RHIP	Rank Has Its Privileges
RHP	Right Hand Page
RHS	Rocking Horse Shit/Right Hand Side/Royal Horticultural Society/Rectangular Hollow Section
RI	Rhode Island
RIAA	Recording Industry Association of America
RIL	Res Ipsa Loquitur (Latin which means there is no point in arguing since it's there in plain sight (or "the thing speaks for itself")
RIMM	Rambus Inline Memory Module
RIO	Right In One
RIP	Rest In Peace
RIPA	Regulation of Investigatory Powers Act (2000)
RISC	Reduced Instruction Set Computer/Reduced Into Silly Code
RL	Real Life/Red Lion
RLE	Run-Length Encoded
RLL	Run-Length Limited
RLV	Reusable Launch Vehicle
RM	Research Machines
RMB	Right Mouse Button
RMC	Right Mouse Click
RMI	Remote Method Invocation
RMS	Richard M. Stallman (GNU founder, FSF president)
RNA	RiboNucleic Acid
RNARS	Royal Navy Amateur Radio Society
RNR	Ringing No Reply
RNS	Rear Near Side
RNTUSMAITT	Remember Not To Use So Many Acronyms In This Topic
ROAR	Rotary Operated Airborne Rickshaw (Helicopter)/Radio Operated Automobile Racing/Reservoirs Of Antibiotic Resistance network/Responsible Organization Action Request/Right Of Admission Refused/Reserved
ROAST	Ram On A STick
ROC	Republic Of China (aka Taiwan)
ROFC	Rolls On Floor Crying
ROFIFOG	Rolls On Floor In Fits Of Giggles
ROFL	Rolls On Floor Laughing/Remains On Floor Lifeless
ROFLAHMSL	Rolling On Floor Laughing And Holding My Sides Laughing
ROFLASSO	Rolling On Floor Laughing And Splitting Sides Open
ROFLASTC	Rolling On The Floor Laughing And Scaring The Cat.
ROFLMAO	Roll On Floor Laughing My Arse Off
ROFLWTROMF	Rolling On Floor Laughing With Tears Running Off My Face
ROFLWTSDF	Rolls On Floor Laughing With Tears Streaming Down Face
ROFLWTSDMF	Rolls On Floor Laughing With Tears Streaming Down My Face
ROI	 Return On Investment
ROM	Read Only Memory
ROOP	Run Out Of Paper
ROP	Run Of Paper
ROR	Raffing Out Roud
RORO	Roll-On, Roll-Off (ferry)
ROS	Rear Off Side
ROT13	EBG13
ROTBA	Reality On The Blink Again
ROTFL	Rolling On The Floor Laughing
ROTFLMAO	Rolling On The Floor Laughing My Arse Off
ROTFLMAOWPIMP	Rolling On The Floor Laughing My Arse Off While Peeing In My Pants
ROTFLMBO	Rolling On The Floor Laughing My Butt Off
ROTFLMHO	Rolling On The Floor Laughing My Head Off
ROTK	Return Of the King
ROTLC	Raider Of The Lost Case
ROTM	Right On The Money
ROTNR	Roll On The Next Release
ROUS	Rodents Of Unusual Size (I don't believe they exist)
ROW	Rest Of World
ROW	Right Of Way
ROYGBIV	An acronym for the colours of the spectrum
RP	Received Pronunciation
RPB	Romanian Phrase Book
RPC	Remote Procedure Call
RPG	Role Playing Game
RPI	Retail Price Index
RPITA	Royal Pain In The A**e/Real Pain In The Arse
RR	Return Receipt
RROOEG	Rapidly Running Out Of E-Groats
RRP	Recommended Retail Price
RS	aRSe/RatS**t
RSARS	Royal Signals Amateur Radio Society
RSC	Royal Shakespeare Company
RSF	Right Said Fred
RSGB	Radio Society of Great Britain
RSI	Repetitive Strain Injury/Rodent Stroking Injury
RSJ	Rolled Steel Joist
RSN	Real Soon Now
RSP	Recommended Selling Price
RSPB	Royal Society for the Protection of Birds
RSS	Really Simple Syndication
RSTBO	Really Suck(s) The Big One
RTA	Road Traffic Accident/Act
RTB	Return To Base/Right To Buy
RTBI	Round Tables of great Britain
RTBW	Return To Base Warranty
RTF	Read The F**king/Rich Text Format
RTFA	Read The F**king Article
RTFB	Read The F**king Bulletin
RTFH	Read The F**king Help
RTFHF	Read The F**king Help Files
RTFM	Read The F**king Manual
RTFRN	Read The F**king Release Notes
RTM	Released To Manufacturing/Read The Manual
RTNR	Ring Tone, No Reply
RTOLH	Read The Online Help
RTRN	Read The Release Notes
RTROTT	Read The Rest Of The Thread
RTS	Request To Send
RTT	Read The Thread
RTTC	Report To The Confessional
RTTEOTM	Read To The End Of The Manual/Message
RTTEOTT	Read To The End Of The Thread
RTTY	Radio TeleTYpe
RUPP	Road Used as Public Path
RWH	Red Wine Headache
RX	Receive
RYA	The Royal Yachting Association (Sailing/Yachting)
RYO	Roll Your Own
S/NS	Smoking  and Non-Smoking
S4L	Spam For Life
SA	Scout Association (Sometimes TSA or UKSA)/Smart Alec
SAA	Systems Application Architecture
SAABIAR	Snug As A Bug In A Rug
SABENA	Such A Bloody Experience, Never Again
SABU	Self-Adjusting Balls-Up
SACD	Super Audio Compact Disc
SACT	Self-Appointed Conference Theologian
SADBAAA	Subtleties And Differences Between Acronyms And Abbreviations
SAE	Self-Addressed Envelope
SAFU	Self-Adjusting F*ck Up
SAGGA	Scout And Guide Graduate Association http://www.sagga.org.uk
SAH	Sure As Hell
SAJB	Self-Addressed Jiffy Bag
SALT	Single Alternate Lane Traffic
SAMFU	Self-Adjusting Military F*-Up
SAPFU	Surpassing All Previous F*-Ups
SARS	Severe Acute Respiratory Syndrome
SAS	Special Air Service
SASE	Self-Addressed Stamped Envelope
SASRE	Surrogate Aunty to Sally Rowan Elphick
SAT	Standard Attainment Test
SATA	Serial ATA
SATOAQTZSN	Saints A To O And Q to Z Say No
SATOAQTZSY	Saints A To O And Q to Z Say Yes
SAV	Sophos Anti Virus
SB	ScoutBase/Silly Boy
SBA	Squashed Baby Alert
SBC	Small Bayonet Cap
SBP	Sticky Banana Pudding/Backed Plastic
SBS	Special Boat Service
SBT	Sad But True
SBUK	ScoutBase UK
SC	South Carolina
SCA	ex RedHotAnt
SCAM	Scsi Configure AutoMagically
SCART	Syndicat francais des Constructeurs d'Appareils Radio et Television
SCM	Software Configuration Management
SCP	Secure CoPy
SCSI	Small Computer Systems Interface/System Can't See It
SCTBUC	Sufficiently Computable To Be Utterly Confusing
SD	Secure Digital/South Dakota
SDI	Single Document Interface
SDK	Software Development Kit
SDMI	Secure Digital Music Initiative
SDQ	Stupid Dumb Question
SDRAM	Synchronous Dynamic Random Access Memory
SDSL	Synchronous Digital Subscriber Line 
SDY	So Do You
SE	Second Edition
SEA	Self-Extracting Archive
SEATWOTD	Shell Extensions Are The Work Of The Devil
SED	Surface-conduction Electron-emitter Display
SEG	S***-Eating Grin
SEO	Search Engine Optimiser/Optimization
SEP	Search Engine Professional
SEP	Someone Else's Problem
SES	Small Edison Screw
SETI	Search for ExtraTerrestrial Intelligence
SF	Surfer-Friendly/San Francisco/Science Fiction/Fantasy 
SFA	Scottish Football Association/Sweet Fanny Adams/Sweet F**k All
SFAIAA	So Far As I Am Aware
SFAICT	So Far As I Can Tell
SFAIK	So Far As I Know
SFAIR	So Far As I Recall
SFLOC	Stony Faced Look Of Contempt
SFSG	So Far, So Good
SFY	Speak For Yourself
SGML	Standard Generalised Markup Language
SHARK	Society for the Harassment of Anally-Retentive Know-alls
SHBM	She Has Binary Mail
SHBMA	She Has Binary Mail Also
SHBMAW	She Has Binary Mail As Well
SHBMT	She Has Binary Mail Too
SHIN	So Have I Now
SHM	She Has Mail
SHP	Shock Horror Probe
SHQ	Scottish HeadQuarters
SHY	So Have You
SI	Skills Instructor
SIAS	Suck It And See
SIAT	Storm In A Teacup/So I Am Told
SIATC	Storm In A Tea Cup
SIBI	Slip It Back In
SID	So I Do/So It Does
SIDM	Stepwise Incrementation Design Methodology
SIG	Spectrum Is Green/Special Interest Group
SII	So It Is
SIIC	See If I Care
SILOP	Sorry I'm Late On Parade
SILYMI	Say It Like You Mean It
SIM	Subscriber Identity Module
SIMM	Single In-line Memory Module
SIOB	Sharp Intake Of Breath
SIP	Session Initiation Protocol
SIP	Single In-line Package
SITD	Still In The Dark
SITRO	Something In The Region Of
SK	Shirley Knot
SKIER	Spending Kids InhERitance
SKP	Some Kind Person
SKS	Some Kind Soul
SL	Scout Leader
SLA	Service Level Agreement
SLATFATF	So Long And Thanks For All The Fish
SLBM	Submarine Launched Ballistic Missile
SLCM	Submarine Launched Cruise Missile
SLIP	Serial Line Internet Protocol/Something twixt LIP & cup
SLOT	Singular Lack Of Trains
SLT	Something Like That
SMAKIBBFB	Smoke Me A Kipper I'll Be Back For Breakfast
SMART	Self Monitoring And Reporting Technology
SMB	System Management Bus
SME	Small to Medium Enterprise
SMIDSY	Sorry Mate I Didn't See You
SMPTE	Society of Motion Picture and Television Engineers 
SMS	Short Message Service
SMT	Shiver My Timbers
SMTH	Sorry Must Try Harder
SMTP	Simple Mail Transmission Protocol
SMWS	Scotch Malt Whisky Society
SN	Scout Network
SNA	Systems Network Architecture
SNAFU	Situation Normal - All Fouled Up
SNAG	Sensitive New Age Guy
SNID	Still/Singular Not In Dictionary
SNIDE	Singular Not In Dictionary Either
SNM	Say No More
SNMP	Simple Network Management Protocol
SO	Significant Other/Second Operator/Smoking Outdoors
SOAP	Seems Ok At Present/Simple Object Access Protocol
SOAS	School of Oriental and African Studies
SOBOH	Slap On Back Of Head
SOC	Save Our Curate
SOCO	Scenes Of Crime Officer
SOD	Save Our Deacon
SOED	Shorter Oxford English Dictionary
SOF	Silly Old Fart/Fool
SOGA	Sale Of Goods Act
SOH	Sense Of Humour
SOHO	Small Office Home Office
SOL	Smiling Out Loud/Sh*t Out of Luck
SOLAS	Safety Of Life At Sea
SOLDELET	Selective On-Line DELETe
SOLRLA	Serious Off-Line Reader Lag Alert
SOM	System Object Model/Sound Of Music
SOML	Story Of My Life
SOMY	Sick Of Me Yet
SOP	Standing/Standard Operational Procedures
SOR	Sex Offenders' Register
SORN	Statutory Off Road Notification
SOS	Save Our Souls/Sound Of Spitting
SOTA	State Of The Art
SOTD	Spawn Of The Devil
SOTMC	Shuffled Off This Mortal Coil
SOTMNBA	Some Of These May Not Be Acronyms
SOTR	Somewhere Over The Rainbow
SP	Starting Price (Information, Gen)/Service Policeman
SPAD	Signal Passed At Danger
SPARC	Scaleable Processing ARChitecture
SPCA	Society for the Prevention of Cruelty to Acronyms/Animals
SPD	Serial Presence Detect
SPDIF	Sony/Phillips Digital InterFace
SPEWS	Spam Prevention Early Warning System
SPF	Sender Permitted From
SPG	Special Patrol Group
SPI	Stateful Packet Inspection
SPIT	Spam over IP Telephony
SPOF	Single Point Of Failure
SPT	Signal Post Telephone
SPX	Sequential Packet eXchange
SQL	Structured Query Language
SRA	Self-Referential Acronym/Strategic Rail Authority
SREWUR	Sally Rowan Elphick's Wicked Uncle Richard
SS	Square Sausage/Silver/Stainless Steel/Saints/[department of] Social Security/SteamShip/Security Service/SchutzStaffel/State Secret
SSADM	Structured Systems Analysis and Design Method
SSAGO	Student Scout And Guide Organisation http://www.ssago.org.uk
SSAJB	Stamped Self-Addressed Jiffy Bag
SSDM	Same Shit, Different Millennium
SSF	Sulks, Stamps Foot
SSH	Secure SHell
SSI	Server Side Includes
SSL	Secure Sockets Layer
SSS	Square Sausage Sandwich
SSSI	Site of Special Scientific Interest
SSSSS	Sheep Shearing Sharpening Service Shop
SST	So She Thinks
SSWL	Splits Sides With Laughter
ST	Star Trek/So There
STAFF	Smart Target Activated Fire and Forget
STB	Simply The Best
STBNAL	Some Time Between Now And Later/ST Boniface's Nativity At Latest
STFAGOS	Stuff That For A Game Of Soldiers
STFRIACO	Single Tandem Fixed Rate Internet Access Call Origination
STP	Sticky Toffee Pudding
STFU	Shut The F**k Up
STFW	Search The F*****g Web
STM	Seems To Me
STN	Stop This Nonsense
STOD	Standard Thread Or Debate.
STR8	STRaight
STS	So To Speak
STSPCA	Support The Society for the Prevention of Cruelty to Acronyms
STV	Single Transvestite Virgin/Single Transferable Vote
STW	Search The Web
STWSTBAS	Sorry That Was Supposed To Be A Say 
STYS	Speak To You Soon
SUL	Stiff Upper Lip
SUSFU	Situation Unchanged: Still F*ed-Up
SUT	Standard User Tariff
SUTBA	Stop Using Those Bloody Acronyms
SVDD	Speed Violation Detection Deterrent
SVG	Scalable Vector Graphics
SVGA	Super Video Graphics Array
SVP	Senior Vice President
SWAG	Simple Wild A**e Guess
SWALK	Sealed With A Loving Kiss
SWIM	See What I Mean
SWL	Short Wave Listener
SWMBLT	She Who Must Be Listened To
SWMBO	She Who Must Be Obeyed
SWOT	Sheer Weight Of Traffic
SWSTWS	She Would Say That, Wouldn't She?
SWTSMBO	She Who Thinks She Must Be Obeyed
SWW	Shorter Working Week
SWYM	See What You Mean
SYSB	So You Should Be
SYT	Sweet Young Thing
T&C	Terms And Conditions
T&O	Tripe & Onions
T0	Terrain Zero (for Scouting)
T1	Terrain One (for Scouting)
T2	Terrain Two (for Scouting)
TA	Troop Assistant
TAAA	There's Always Another Acronym
TACO	Telnet Access, Conferencing Only tariff
TAFN	That's All For Now
TAIAITL	That Acronym Is Actually/Already In The List
TAIISAT	Take An Interest In Sex And Travel
TAL	Thanks A Lot
TAM	Television Audience Monitoring
TANABEM	There's A New Acronym Born Every Minute
TANATAH	That Acronym Never Applies To Anyone Here
TANJ	There Ain't No Justice
TANSTAAFL	There Ain't No Such Thing As A Free Lunch
TANSTAFL	There Ain't No Such Thing As Free Lunch
TAPI	Telephony Application Programming Interface
TAQ	The African Queen
TAQAVM	The African Queen And Vampire's Mother
TARDIS	Time And Relative Dimensions In Space
TARFU	Things Are Really F**ked/Fouled Up
TATT	Tired All The Time
TB	Tuberculosis/The Bat
TBA	To Be Added/Announced/Advised
TBD	To Be Done
TBH	To Be Honest
TBIB	The Bitch Is Back...
TBONTB	To Be Or Not To Be
TBPC	To Be Politically Correct
TBQH	To Be Quite Honest
TBS	To Be Serious/Telenor Business Solutions
TBT	Technology Based Training
TBW	That Blasted Woman
TBWI	That Ball Was In
TBYB	Try Before You Buy
TC	ThunderClap/Town Crier/Town Crying
TCFHTCT	The Current Frankie Howerd Travelling CIX Thread
TCP	Transmission Control Protocol
TCPA	Trusted Computing Platform Alliance
TCR	Tottenham Court Road
TCS	Traction Control System
TCTCBN	The Cooking That Cannot Be Named
TCTCBNOC	The Cooking That Cannot Be Named Of Course
TCTFPT	The Cix Travelling Fish Pun Thread
TCUTD	Town Crier Under The Duvet
TDA	Trades Descriptions Act
TDAEG	That Deserves An E-Groat
TDB	The Dog’s B**locks
TDE	Total Domestic Expenditure
TDLIUT	They Don't Like It Up Them
TDMA	Time Division Multiple Access
TDO	Total Domestic Output
TE	Tennessee
TEGBIU	The E-Groat Bank Is Unbreakable
TEI	Terminal Equipment Identifier
TEOTWAWKI	The End Of The World As We Know It
TETTAPP	That's Enough To Turn A Panther Pink
TFFT	Thank F**k For That
TFH	Thread From Hell
TFI	Thank F**k It's
TFIF	Thank F**k It's Friday
TFL	Transport For London
TFM	The F**king Manual
TFPT	The Fish Pun Thread
TFT	Thanks For That/Thin Film Transistor
TFTA	Thanks For The Acronym(s)
TFTAAM	Thanks For The Additional Acronym Meaning
TFTAEG	Thanks For The Additional E-Groat
TFTBEG	Thanks For The Bonus E-Groat
TFTBM	Thanks For The BinMail
TFTC	Thanks For The Comment/Clarification
TFTD	Thanks For The Diversion
TFTEEG	Thanks For The Extra E-Groat
TFTEG	Thanks For That/The E-Groat
TFTFB	Thanks For The Feedback
TFTI	Thanks For The Information
TFTP	Trivial File Transmission Protocol
TFTR	Thanks For The Report
TFTS	Thanks For The Smilies
TFTSAA	Thanks For The Smiles And Acronyms
TFTVOC	Thanks For The Vote Of Confidence
TFYL	The Formidable/Fine Young Lady
TG	Thank God
TGA/GA	The Guide Association
TGAFP	There Goes A Flying Pig
TGATG	The Great And The Good
TGFT	Thank God For That
TGIF	Thank God It’s Friday
TGSE	Teaching Grandma to Suck Eggs 
TGT	That's Great - Terrific
TGTP	There Goes The Planet
TGTSE	Teaching Grandma To Suck Eggs
TH	Troop Helper
THAEG	Thanks, Have An E-Groat
THBAPSA	This Has Been A Public Service Announcement
THHAEG	Thanks, Have Half An E-Groat
THX	Thanks
TIA	Thanks In Anticipation/Advance
TIAAO	That I Am Aware Of
TIANCRA	This Is A No Case Resting Area
TIANRA	This Is A No Resting Area
TIAPSA	This Is A Public Service Announcement
TIB	Thumb In Bum
TIBMIN	Thumb In Bum, Mind In Neutral
TIC	Tongue In Cheek/This Is CaRP
TIJLAO	That Is Just Life All Over
TIL	Threaded Interpreted Language/The Iron Lady
TINA	There Is No Alternative
TINALO	This Is Not A Legal Opinion
TINAPA	That Is Not A Proper Answer
TINAPR	That Is Not A Proper Reply
TINAR	This Is Not A Recommendation
TINSTAMP	There Is No Such Thing As Mild Pedantry
TISP	Tongue Is Snip Proof
TITA	That Is The Answer
TITK	Those In The Know
TITOAYAGTG	That Is The Only Answer You Are Going To Get
TITQ	That Is The Question
TIWDAOBMTALL	The Impossible We Do At Once But Miracles Take A Little Longer
TIWTGLGG	This Is Where The Goofy Little Grin Goes
TIWUR	That Is What yoU aRe
TLTTF	The Land That Time Forgot
TJATAW	Truth, Justice, And The American Way
TKO	Technical Knock-Out
TKSVMIA	ThanKs So Very Much In Advance
TLA	Three Letter Acronym/Abbreviation
TLC	Tender Loving Care
TLF	Troop Leadership Forum
TLK2UL8R	Talk To You Later
TLOTR	The/Tolkien's Lord Of The Rings
TLTA	Too Long To Abbreviate
TLYC	Tough, Like Your Cooking
TM	Transcendental Meditation/Turing Machine/TradeMark
TMA	Tutor Marked Assignment
TMAI	Tell Me About It
TMDWRAGI	Too Many Duplications Will Ruin A Good Idea
TMFAQITOW	The Most Frequently Asked Question In The Online World
TMFAQITW	The Most Frequently Asked Question In The World
TMFU	The Man From Uncle
TMI	Too Much Information
TMK	To My Knowledge
TMRTB	That Man Reads The Beano
TNAA	That's Not An Acronym
TNAAF	That's Not At All Fair
TNAGD	That's Not A Good Design
TNC	Thread Neill-Concelman/Totally No Comment/Trans-National Corporation (or Company)
TNF	That's Not Fair
TNFAA	That's Not Fair At All
TNG	The Next Generation/That's No Good
TNR	The Next Release
TNT	TriNitroToluene
TNVN	That's Not Very Nice
TNVNE	That's Not Very Nice Either
TOA	Thesaurus Of Acronyms
TOC	Table Of Contents/Train Operating Company
TOCRAR	This One Could Run And Run
TOG	Territorial Operations Group
TOIL	Time Off In Lieu
TOL	Tower Of London
TOM	Theory Of Mind
TOPCA	Till Our Paths Cross Again
TOS	The Original Series/The Operating System (the OS of the Atari ST range)
TOTAL	Teddy Out The Air Lock
TOTT	Top Of The Tree
TP	Tair Pedol (Three Horseshoe (English translation))
TPH	The Phantom Hacker
TPHSA	The Phantom Hacker Strikes Again
TPI	Tax and Price Index/That Proves It
TPIM	The Pleasure Is Mine
TPRTCYKTOTDTNS	That Pub Round The Corner. You Know, The One That Does Nice Salads…
TPTATB	The Powers That Are To Be
TPTB	The Powers That Be/The People To Blame
TPTBVTAH	The Powers That Be Version Two At Home
TPTBVTAW	The Powers That Be Version Two At Work
TPTW	The Powers That Were
TPWL	The Poor Wee Lad
TRDMC	Tears Running Down My Cheeks
TRE	Target Rich Environment
TRIPE	True Riposte Is Perfectly Esoterical
TS/TG	Time Served/Time in Grade
TSOTD	The Spawn Of The Devil
TSR	Terminate and Stay Resident
TSVMIA	Thanks So Very Much In Advance
TT	There, There/Two Trips/ TeeTotaller/ Tuberculin Tested/ Tourist Trophy
TTAEG	Thanks, Take An E-Groat
TTBA	Time To Be Announced
TTBOMK	To The Best Of My Knowledge
TTBOMR	To The Best Of My Recollection
TTFN	Ta Ta For Now
